"id_perusahaan","nama_perusahaan","kategori_bidang","spesialisasi_bidang","kota_sumsel","deskripsi_singkat","prediksi_skill_dibutuhkan","sumber_data"
"PSM201","Firma Sumbagsel Pertambangan Persada","Pertambangan","Batubara","Kayu Agung","Firma Sumbagsel Pertambangan Persada adalah perusahaan yang bergerak di bidang Pertambangan, dengan fokus pada Batubara. Berlokasi di Kayu Agung, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Teknologi Konstruksi Jalan;Kepemimpinan;Teknik Distribusi Tenaga Listrik Skala Kecil;Basic Aircraft Maintenance Awareness;Manajemen Operasional Hotel;Sistem Informasi Akademik;Supply Chain Management Energi;Administrasi Akademik & Kemahasiswaan;GIS untuk Perkebunan","Analisis Internal"
"PSM202","CV Universitas Teknologi","Teknologi & Layanan","Platform Digital Multi-Layanan","Muara Enim","Beroperasi di Muara Enim, CV Universitas Teknologi menawarkan keahlian dalam Platform Digital Multi-Layanan di sektor Teknologi & Layanan. Mereka dikenal karena inovasi dan kualitas.","Pengembangan Komunitas Pengguna/Mitra;Operasional Terminal Peti Kemas/Curah;Layanan Pelanggan Platform;Operasional Perkeretaapian;Jembatan)","Transkripsi Gambar & Riset"
"PSM203","Perum Energi","Energi","Minyak & Gas Bumi (Hulu)","Ogan Komering Ilir (OKI)","Perum Energi adalah perusahaan yang bergerak di bidang Energi, dengan fokus pada Minyak & Gas Bumi (Hulu). Berlokasi di Ogan Komering Ilir (OKI), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Akuntansi Perbankan;Quality Control Pakan & Produk Ternak;Manajemen Operasi Penerbangan;Manajemen Lalu Lintas Tol;Hukum Bisnis & Jaminan;Perlindungan Konsumen Keuangan;Teknik Elektro;Pemasaran & Komersial Bandara;Reasuransi (Dasar);Fasilitas Produksi Migas","Data Generasi Otomatis"
"PSM204","PT Perhotelan","Perhotelan & Pariwisata","Akomodasi & Layanan Perhotelan","Kayu Agung;Sekayu (Muba)","Beroperasi di Kayu Agung dan Sekayu (Muba), PT Perhotelan menawarkan keahlian dalam Akomodasi & Layanan Perhotelan di sektor Perhotelan & Pariwisata. Mereka dikenal karena inovasi dan kualitas.","Customer Relationship Management (CRM);Akuntansi Perbankan;Analisis Kredit (Konsumer;Manajemen Proyek Jalan Tol;Underwriting Asuransi Kredit;Musyarakah);Manajemen Keuangan BUMD Energi;Cyber Security;Pemecahan Masalah;Manajemen Kualitas (QC/QA)","Riset Tambahan"
"PSM205","Yayasan Agribisnis Lahat Holding","Agribisnis","Perkebunan Komoditas Ekspor","Lahat","Yayasan Agribisnis Lahat Holding adalah perusahaan yang bergerak di bidang Agribisnis, dengan fokus pada Perkebunan Komoditas Ekspor. Berlokasi di Lahat, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","GIS untuk Sumber Daya Air;Underwriting Asuransi Kredit;Pemasaran & Kerjasama Program Radio;Cloud Computing (AWS/Azure/GCP);Bahasa Inggris;Komersial);Analisis Pembiayaan Syariah (Murabahah;Manajemen Operasional Platform Digital","Transkripsi Gambar & Riset"
"PSM206","Yayasan Transportasi Bersama","Transportasi","Transportasi Udara (Pengelola Bandara)","Palembang","Sebagai pemain di industri Transportasi, Yayasan Transportasi Bersama yang berbasis di Palembang mengkhususkan diri dalam Transportasi Udara (Pengelola Bandara). Dedikasi pada kualitas adalah prioritas utama.","Manajemen Operasional Jalan Tol;Kerja Tim;Administrasi Akademik & Kemahasiswaan;Quality Control Produk Peternakan;Pengolahan Limbah Industri Pulp & Kertas;Distribusi & Logistik Material Konstruksi;Pemasaran & Sponsorship Olahraga;Pemasaran Produk Perbankan;Analisis & Tata Kelola Data Pemerintah;Operasional Perbankan Modern","Transkripsi Gambar & Riset"
"PSM207","Yayasan Konstruksi Indralaya","Konstruksi & Infrastruktur","Operator Jalan Tol","Indralaya","Yayasan Konstruksi Indralaya menyediakan solusi Konstruksi & Infrastruktur dengan spesialisasi Operator Jalan Tol untuk pasar di Indralaya dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Penelitian Kesehatan;Kepabeanan & Prosedur Ekspor-Impor;Layanan Pelanggan Korporat & Ritel;Teknik Sarana Kereta Api (Lokomotif;Logistik Barang via Kereta;Manajemen Inventaris Ritel;Teknik Kimia (Pengolahan);Klaim Asuransi Kredit;Pengembangan Komunitas Pengguna/Mitra;Analisis Data Perilaku Pengguna Lokal","Riset Tambahan"
"PSM208","Yayasan Regulator Corp","Regulator Keuangan","Pengawasan Sektor Jasa Keuangan","Lahat;Palembang; lokasi proyek","Beroperasi di Lahat dan Palembang dan  lokasi proyek, Yayasan Regulator Corp menawarkan keahlian dalam Pengawasan Sektor Jasa Keuangan di sektor Regulator Keuangan. Mereka dikenal karena inovasi dan kualitas.","Farmasi Klinis & Manajemen Obat;Drainase;Pengembangan & Pengelolaan Aplikasi Pemerintahan (e-Government);Kepemimpinan;Teknik Kimia;Manajemen Klub Olahraga","Data Generasi Otomatis"
"PSM209","UD Perbankan Lestari","Perbankan","Layanan Keuangan & Perbankan Syariah","Palembang; Kayu Agung","UD Perbankan Lestari adalah perusahaan yang bergerak di bidang Perbankan, dengan fokus pada Layanan Keuangan & Perbankan Syariah. Berlokasi di Palembang dan  Kayu Agung, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Keuangan;Food & Beverage Service/Production;SQL;Sistem Informasi Akademik;Layanan Pelanggan;Analisis Data Operasional;HSE Operasi Migas;Community Development Perkebunan","Riset Tambahan"
"PSM210","Perum Sriwidjaja Energi","Energi","Ketenagalistrikan Lokal","Lahat","Consectetur qui voluptates cupiditate. Asperiores inventore libero temporibus blanditiis facilis corrupti nostrum.","Jaringan Akses (Fiber Optik;Basic Aircraft Maintenance Awareness;Manajemen Lalu Lintas Tol;Machine Learning;Logistik;Analisis Penjualan Ritel;Pemasaran Digital Lokal","Analisis Internal"
"PSM211","PT Agribisnis Palembang","Agribisnis & Kehutanan","Hutan Tanaman Industri (HTI)","Palembang; Indralaya","Beroperasi di Palembang dan  Indralaya, PT Agribisnis Palembang menawarkan keahlian dalam Hutan Tanaman Industri (HTI) di sektor Agribisnis & Kehutanan. Mereka dikenal karena inovasi dan kualitas.","Eucalyptus);Manajemen Dana Pihak Ketiga Syariah;Hidrologi & Hidrometri;Analisis Data Operasional;Underwriting Asuransi Kredit;Manajemen Siaran Radio;Operasi Lapangan Migas;SAP PP/MM;Drainase","Analisis Internal"
"PSM212","CV Teknologi","Teknologi & Telekomunikasi","Layanan Telekomunikasi & Digital","Lahat","Quos quibusdam facilis beatae.","Manajemen Risiko Perbankan Swasta;Analisis Kelayakan Kredit Usaha;Analisis Penjualan Ritel;Analisis Pembiayaan Syariah (Murabahah;Penelitian Kesehatan","Riset Tambahan"
"PSM213","CV Layanan Nusantara Muara Enim Holding","Layanan Publik","Pengelolaan Sumber Daya Air","Muara Enim;Palembang; Kayu Agung","CV Layanan Nusantara Muara Enim Holding menyediakan solusi Layanan Publik dengan spesialisasi Pengelolaan Sumber Daya Air untuk pasar di Muara Enim dan Palembang dan  Kayu Agung dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Manajemen Event & Banquet;K3 Lingkungan Pembangkitan;Pengawasan Kepatuhan (Compliance);Manajemen Kontrak Konstruksi","Analisis Internal"
"PSM214","Firma Kesehatan Jaya Prabumulih","Kesehatan","Layanan Kesehatan Rujukan Nasional","Prabumulih;Baturaja (OKU)","Sebagai pemain di industri Kesehatan, Firma Kesehatan Jaya Prabumulih yang berbasis di Prabumulih dan Baturaja (OKU) mengkhususkan diri dalam Layanan Kesehatan Rujukan Nasional. Dedikasi pada kualitas adalah prioritas utama.","Kesehatan Hewan Ternak & Akuakultur;Efisiensi Energi Pembangkit;Pemasaran Digital Lokal;Treasury (Dasar);Python;GIS & Pemetaan Tambang;Budidaya Ikan Air Tawar/Payau;Manajemen Lalu Lintas Proyek;PLTA)","Transkripsi Gambar & Riset"
"PSM215","Firma Pendidikan Inovasi Baturaja","Pendidikan","Pendidikan Tinggi & Penelitian","Baturaja (OKU);Lahat","Firma Pendidikan Inovasi Baturaja menyediakan solusi Pendidikan dengan spesialisasi Pendidikan Tinggi & Penelitian untuk pasar di Baturaja (OKU) dan Lahat dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Teknik Elektro;Hidrologi & Hidrometri;Analisis Kelayakan Kredit Usaha;Operasi Lapangan Migas;Teknik Perminyakan (Produksi/Reservoir);Pemeliharaan Listrik Pembangkit;Manajemen Kualitas Semen","Analisis Internal"
"PSM216","Firma Sriwijaya Manufaktur Agung Syariah","Manufaktur","Industri Pulp & Kertas","Lubuklinggau;Sekayu (Muba)","Firma Sriwijaya Manufaktur Agung Syariah adalah perusahaan yang bergerak di bidang Manufaktur, dengan fokus pada Industri Pulp & Kertas. Berlokasi di Lubuklinggau dan Sekayu (Muba), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Air);Operasional Pabrik Semen;Pelayanan Pelanggan Listrik Pedesaan;Manajemen Proyek;Perencanaan Tambang Jangka Panjang/Pendek;Ground Operations & Customer Handling;Pemasaran Produk & Layanan Seluler;Penelitian Kesehatan;Pemasaran Produk Perbankan;Kesehatan Hewan & Biosecurity","Riset Tambahan"
"PSM217","Firma Asuransi Muara Enim","Asuransi","Asuransi Umum","Muara Enim","Firma Asuransi Muara Enim adalah perusahaan yang bergerak di bidang Asuransi, dengan fokus pada Asuransi Umum. Berlokasi di Muara Enim, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Teknik Elektro;Manajemen Risiko Perbankan;Pemasaran Digital Lokal;SAP;Optimalisasi Jaringan Radio (RF Optimization);Teknik Sipil (Struktur","Riset Tambahan"
"PSM218","CV Media Cipta Tbk","Media & Penyiaran","Penyiaran Radio Publik","Palembang; Kayu Agung;Lubuklinggau","Quia fugit delectus necessitatibus. Dignissimos ab quo eius dolores quisquam.","Manajemen Event & Banquet;Regulasi Sektor Jasa Keuangan;Analisis Risiko Asuransi;Layanan Pelanggan Digital;Budidaya Ternak Ayam (Breeding/Broiler);Bendungan);Teknik Sipil Sumber Daya Air (Irigasi;Python","Riset Tambahan"
"PSM219","Yayasan Utilitas Teknika","Utilitas","Ketenagalistrikan (Pembangkitan)","Palembang;Muara Enim","Yayasan Utilitas Teknika adalah perusahaan yang bergerak di bidang Utilitas, dengan fokus pada Ketenagalistrikan (Pembangkitan). Berlokasi di Palembang dan Muara Enim, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Treasury (Dasar);Teknik Sipil;Logistik;Java","Transkripsi Gambar & Riset"
"PSM220","Perum Perbankan Nusantara","Perbankan","Layanan Keuangan & Perbankan Daerah","Palembang; Indralaya","Sebagai pemain di industri Perbankan, Perum Perbankan Nusantara yang berbasis di Palembang dan  Indralaya mengkhususkan diri dalam Layanan Keuangan & Perbankan Daerah. Dedikasi pada kualitas adalah prioritas utama.","Teknologi Informasi & Komunikasi (TIK);Distribusi & Logistik Material Konstruksi;Pengadaan & Kontrak Konstruksi Tol;Teknik Elektro (Arus Kuat)","Riset Tambahan"
"PSM221","UD Perbankan Nusantara Holding","Perbankan","Layanan Keuangan & Perbankan Syariah","Sekayu (Muba)","Sebagai pemain di industri Perbankan, UD Perbankan Nusantara Holding yang berbasis di Sekayu (Muba) mengkhususkan diri dalam Layanan Keuangan & Perbankan Syariah. Dedikasi pada kualitas adalah prioritas utama.","Metode Pelaksanaan Konstruksi;Analisis Kredit (Konsumer;Proses Produksi Pupuk;Drainase;Teknik Pertambangan","Data Generasi Otomatis"
"PSM222","CV Teknologi Energitama","Teknologi & Layanan","Platform Digital Multi-Layanan","Muara Enim","CV Teknologi Energitama menyediakan solusi Teknologi & Layanan dengan spesialisasi Platform Digital Multi-Layanan untuk pasar di Muara Enim dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Teknik Telekomunikasi;HSE Konstruksi;Estimasi Biaya Proyek (Quantity Surveyor);Flight Dispatch (Dasar);Operasional Perkeretaapian;Manajemen Operasional Pembangkit Listrik Lokal (Diesel/Gas)","Riset Tambahan"
"PSM223","PT Pertambangan","Pertambangan","Batubara","Indralaya","PT Pertambangan menyediakan solusi Pertambangan dengan spesialisasi Batubara untuk pasar di Indralaya dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Budidaya Ternak Ayam (Breeding/Broiler);Ground Handling);Quality Control Produk Peternakan;Layanan Pengguna Jalan Tol;Rekam Medis & Sistem Informasi RS","Analisis Internal"
"PSM224","Perum Jasa Indonesia Olahraga Syariah","Olahraga & Hiburan","Klub Sepak Bola Profesional","Baturaja (OKU)","Perum Jasa Indonesia Olahraga Syariah menyediakan solusi Olahraga & Hiburan dengan spesialisasi Klub Sepak Bola Profesional untuk pasar di Baturaja (OKU) dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Teknik Kimia (Proses Semen);Manajemen Kontrak Konstruksi;Perencanaan & Pengelolaan DAS;Jalan;Analisis Risiko Asuransi","Data Generasi Otomatis"
"PSM225","PT Citra Teknologi Bangun","Teknologi & Layanan","Platform Digital Multi-Layanan","Palembang; lokasi proyek;Sekayu (Muba)","PT Citra Teknologi Bangun adalah perusahaan yang bergerak di bidang Teknologi & Layanan, dengan fokus pada Platform Digital Multi-Layanan. Berlokasi di Palembang dan  lokasi proyek dan Sekayu (Muba), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Instrumentasi & Kontrol Proses;Perbankan Digital;Bahasa Inggris;Pengembangan Perangkat Lunak","Transkripsi Gambar & Riset"
"PSM226","Yayasan Kesehatan Cipta Syariah","Kesehatan","Layanan Kesehatan Rujukan Nasional","Palembang; lokasi proyek","Yayasan Kesehatan Cipta Syariah menyediakan solusi Kesehatan dengan spesialisasi Layanan Kesehatan Rujukan Nasional untuk pasar di Palembang dan  lokasi proyek dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Manajemen Logistik Maritim;Manajemen Keuangan BUMD Energi;Underwriting Asuransi Kredit;Machine Learning;Layanan Pelanggan;Survei & Pemetaan Lahan Tol;Teknik Kimia Proses Pulp & Kertas;Manajemen Inventaris Ritel;Silvikultur & Pembibitan;Manajemen Lalu Lintas Proyek","Riset Tambahan"
"PSM227","PT Logistik Kayu Agung Group","Logistik & Transportasi","Layanan Kepelabuhanan","Kayu Agung","Minus minus eligendi praesentium voluptatem qui.","Teknik Distribusi Tenaga Listrik Skala Kecil;Teknik Perminyakan (Produksi/Reservoir);Sales & Ticketing Maskapai;Manajemen Operasional Jalan Tol;Manajemen Energi & Utilitas Pabrik Besar;Sumber Daya Manusia;Agronomi Tanaman Karet/Sawit/Teh","Riset Tambahan"
"PSM228","Yayasan Konstruksi Bangun Tbk","Konstruksi & Infrastruktur","Operator Jalan Tol","Palembang; Kayu Agung","Yayasan Konstruksi Bangun Tbk menyediakan solusi Konstruksi & Infrastruktur dengan spesialisasi Operator Jalan Tol untuk pasar di Palembang dan  Kayu Agung dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Treasury (Dasar);Sertifikasi Kehutanan Lestari (FSC/PEFC);Pengolahan Limbah Industri Pulp & Kertas;Komunikasi;Sumber Daya Manusia","Riset Tambahan"
"PSM229","PT Teknologi Sejahtera Muara Enim (Persero)","Teknologi & Layanan","Platform Digital Multi-Layanan","Muara Enim","Beroperasi di Muara Enim, PT Teknologi Sejahtera Muara Enim (Persero) menawarkan keahlian dalam Platform Digital Multi-Layanan di sektor Teknologi & Layanan. Mereka dikenal karena inovasi dan kualitas.","Akuisisi & Manajemen Merchant/Driver;Ground Handling);Pengolahan Hasil Perkebunan (Primer);Underwriting Asuransi Kredit;Kesehatan Hewan Ternak & Akuakultur;Pengadaan & Kontrak Konstruksi Tol;Layanan Nasabah Prima;SAP PP/MM","Data Generasi Otomatis"
"PSM230","Yayasan PLN Ritel","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Palembang","Yayasan PLN Ritel adalah perusahaan yang bergerak di bidang Ritel, dengan fokus pada Distribusi & Ritel Produk Digital & Gaya Hidup. Berlokasi di Palembang, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Operasi Lapangan Migas;Layanan Pelanggan;Kepemimpinan;Cloud Computing (Dasar);Estimasi Biaya Proyek (Quantity Surveyor)","Data Generasi Otomatis"
"PSM231","CV Media Utama","Media & Penyiaran","Penyiaran Radio Publik","Indralaya","Beroperasi di Indralaya, CV Media Utama menawarkan keahlian dalam Penyiaran Radio Publik di sektor Media & Penyiaran. Mereka dikenal karena inovasi dan kualitas.","5G);Sumber Daya Manusia;Reasuransi (Dasar);Pemeliharaan Infrastruktur Jalan Tol;Layanan Nasabah Prima;R&D Produk Semen;Operasional Perbankan Modern","Data Generasi Otomatis"
"PSM232","Perum Ritel Agung (Persero)","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Palembang; Indralaya","Sebagai pemain di industri Ritel, Perum Ritel Agung (Persero) yang berbasis di Palembang dan  Indralaya mengkhususkan diri dalam Distribusi & Ritel Produk Digital & Gaya Hidup. Dedikasi pada kualitas adalah prioritas utama.","Farmasi Klinis & Manajemen Obat;Visual Merchandising;Manajemen Peternakan Ayam (Broiler/Layer);Cloud Computing (Dasar);Operasional Perkeretaapian","Transkripsi Gambar & Riset"
"PSM233","Firma Konstruksi","Konstruksi","Infrastruktur & Bangunan","Baturaja (OKU);Sekayu (Muba)","Sebagai pemain di industri Konstruksi, Firma Konstruksi yang berbasis di Baturaja (OKU) dan Sekayu (Muba) mengkhususkan diri dalam Infrastruktur & Bangunan. Dedikasi pada kualitas adalah prioritas utama.","Perpustakaan Digital & Literasi Informasi;Layanan Penumpang Kereta;Teknik Penyiaran Radio (Audio Engineering);Pemasaran Produk Asuransi;Keamanan Informasi Pemerintah (Dasar);Teknik Perminyakan;Jurnalisme Radio & Produksi Program;Supply Chain Management Energi;Analisis & Tata Kelola Data Pemerintah","Transkripsi Gambar & Riset"
"PSM234","CV Agribisnis Teknika Sekayu","Agribisnis","Industri Pakan Ternak & Peternakan Terpadu","Sekayu (Muba)","CV Agribisnis Teknika Sekayu menyediakan solusi Agribisnis dengan spesialisasi Industri Pakan Ternak & Peternakan Terpadu untuk pasar di Sekayu (Muba) dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Kepabeanan & Prosedur Ekspor-Impor;Manajemen Proyek Jalan Tol;Analisis Penjualan Ritel;Housekeeping Management;Nutrisi Ternak Unggas/Ikan;Front Office Management;Pemeliharaan Listrik Pembangkit;Manajemen Event Pertandingan","Analisis Internal"
"PSM235","CV Energi Ogan Komering Ilir","Energi","Minyak & Gas Bumi (Hulu)","Ogan Komering Ilir (OKI)","Beroperasi di Ogan Komering Ilir (OKI), CV Energi Ogan Komering Ilir menawarkan keahlian dalam Minyak & Gas Bumi (Hulu) di sektor Energi. Mereka dikenal karena inovasi dan kualitas.","Optimalisasi Jaringan Radio (RF Optimization);Jaringan Akses (Fiber Optik;Cyber Security;Teknologi Produksi Pulp;Air Traffic Services (Dasar);Korporat);Perencanaan Kehutanan & Inventarisasi Hutan;Logistik Industri;Teknik Telekomunikasi;Wealth Management","Riset Tambahan"
"PSM236","CV Pertambangan Solusindo Baturaja Group","Pertambangan","Batubara","Baturaja (OKU)","Unde in veniam veritatis vero sequi.","Teknologi Konstruksi Jalan;Manajemen Inventaris Ritel;Manajemen Klub Olahraga;HSE Pelabuhan;Fisioterapi Olahraga (Dasar)","Riset Tambahan"
"PSM237","Perum Agribisnis Inovasi Lubuklinggau Group","Agribisnis & Kehutanan","Hutan Tanaman Industri (HTI)","Lubuklinggau","Ratione modi eius distinctio minima tempora.","Teknik Mesin Produksi Semen;Food & Beverage Service/Production;Teknik Sipil (Jalan Tol & Jembatan);Teknik Perminyakan;Microsoft Office Suite;AutoCAD & Software Desain Teknik;Manajemen Kualitas Semen;Logistik;Jembatan);Agronomi Tanaman Karet/Sawit/Teh","Data Generasi Otomatis"
"PSM238","Firma Konstruksi Makmur Group","Konstruksi & Infrastruktur","Operator Jalan Tol","Sekayu (Muba)","Firma Konstruksi Makmur Group adalah perusahaan yang bergerak di bidang Konstruksi & Infrastruktur, dengan fokus pada Operator Jalan Tol. Berlokasi di Sekayu (Muba), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Manajemen Kualitas (QC/QA);GIS untuk Sumber Daya Air;Teknik Elektro;HSE Perkebunan;Community Development Perkebunan;Akuntansi Perbankan;Tembaga)","Transkripsi Gambar & Riset"
"PSM239","UD Pendidikan Inovasi","Pendidikan","Pendidikan Tinggi & Penelitian","Lubuklinggau","Sebagai pemain di industri Pendidikan, UD Pendidikan Inovasi yang berbasis di Lubuklinggau mengkhususkan diri dalam Pendidikan Tinggi & Penelitian. Dedikasi pada kualitas adalah prioritas utama.","Pengadaan & Kontrak Konstruksi Tol;Silvikultur & Pembibitan;Pengembangan Komunitas Pengguna/Mitra;Operasional Cabang Bank;Layanan Pelanggan;Java;Manajemen Jaringan & Infrastruktur TIK Pemerintah;Manajemen Penelitian & Publikasi Ilmiah;Cloud Computing (AWS/Azure/GCP)","Analisis Internal"
"PSM240","Firma Material","Material Konstruksi","Semen","Sekayu (Muba)","Beroperasi di Sekayu (Muba), Firma Material menawarkan keahlian dalam Semen di sektor Material Konstruksi. Mereka dikenal karena inovasi dan kualitas.","Food & Beverage Service/Production;Teknik Penyiaran Radio (Audio Engineering);Quality Control Produk Peternakan;Efisiensi Energi Pembangkit","Data Generasi Otomatis"
"PSM241","Perum Hotel Aryaduta Kesehatan","Kesehatan","Layanan Kesehatan Rujukan Nasional","Palembang; Kayu Agung","Beroperasi di Palembang dan  Kayu Agung, Perum Hotel Aryaduta Kesehatan menawarkan keahlian dalam Layanan Kesehatan Rujukan Nasional di sektor Kesehatan. Mereka dikenal karena inovasi dan kualitas.","AutoCAD & Software Desain Teknik;Manajemen Risiko Perbankan Swasta;Administrasi Rumah Sakit;Pemasaran & Komersial Bandara;Gerbong);PLTG;Analisis Data Pelanggan Seluler (Customer Analytics);Layanan Penumpang Kereta;Basic Aircraft Maintenance Awareness","Riset Tambahan"
"PSM242","CV Konstruksi Palembang","Konstruksi","Infrastruktur & Bangunan","Palembang; lokasi proyek","Beroperasi di Palembang dan  lokasi proyek, CV Konstruksi Palembang menawarkan keahlian dalam Infrastruktur & Bangunan di sektor Konstruksi. Mereka dikenal karena inovasi dan kualitas.","Teknik Mesin Industri;Teknik Perminyakan;AutoCAD & Software Desain Teknik;Perlindungan Hutan & Pengendalian Kebakaran;Survei & Pemetaan Lahan Tol;Operasional Alat Berat;Logistik;Manajemen Operasional Hotel;Manajemen Penelitian & Publikasi Ilmiah","Analisis Internal"
"PSM243","CV Asuransi Raya Prabumulih","Asuransi","Asuransi Umum","Prabumulih","Cumque earum aut praesentium consectetur nam. Ex facere voluptas repellat quod.","Customer Relationship Management (CRM);Logistik;Pemasaran Produk Asuransi;Pemasaran & Komersial Bandara;Analisis Risiko Asuransi;Teknik Mesin Produksi Semen;Akuisisi & Manajemen Merchant/Driver","Transkripsi Gambar & Riset"
"PSM244","Firma Kereta Indonesia Transportasi","Transportasi","Transportasi Udara (Pengelola Bandara)","Kayu Agung","Numquam iure nesciunt dolorum fugiat voluptatum. Exercitationem voluptatum beatae aut.","Teknik Mesin Industri Berat;Sistem Kontrol Pembangkit (PLC/DCS);Cloud Computing (AWS/Azure/GCP);Perbankan Digital;Pengembangan Perangkat Lunak;Ground Operations & Customer Handling;Pengembangan & Pengelolaan Aplikasi Pemerintahan (e-Government);Manajemen Kualitas Semen;Teknik Sarana Kereta Api (Lokomotif;Komunikasi Publik & Kehumasan Pemerintah","Riset Tambahan"
"PSM245","UD Sumatra South Pendidikan","Pendidikan","Pendidikan Tinggi & Penelitian","Palembang; Kayu Agung","Beroperasi di Palembang dan  Kayu Agung, UD Sumatra South Pendidikan menawarkan keahlian dalam Pendidikan Tinggi & Penelitian di sektor Pendidikan. Mereka dikenal karena inovasi dan kualitas.","Pemasaran Produk Perbankan;Kesehatan Hewan & Biosecurity;Layanan Pelanggan Platform;Literasi & Edukasi Keuangan","Analisis Internal"
"PSM246","UD Pertambangan","Pertambangan","Batubara","Palembang","Nisi voluptatum laboriosam assumenda aliquid quaerat sit. Autem deserunt officiis quam placeat voluptatem.","Proses Produksi Pupuk;GIS untuk Perkebunan;Cloud Computing (Dasar);Layanan Pelanggan Platform;Literasi & Edukasi Keuangan;Teknik Pertambangan","Riset Tambahan"
"PSM247","Yayasan Konstruksi Lubuklinggau Corp","Konstruksi","Infrastruktur & Bangunan","Lubuklinggau","Beroperasi di Lubuklinggau, Yayasan Konstruksi Lubuklinggau Corp menawarkan keahlian dalam Infrastruktur & Bangunan di sektor Konstruksi. Mereka dikenal karena inovasi dan kualitas.","Manajemen Lalu Lintas Tol;SAP PP/MM;Perencanaan Kehutanan & Inventarisasi Hutan;Manajemen Kanal Penjualan (Direct/Indirect);Manajemen Layanan IT (ITSM)","Data Generasi Otomatis"
"PSM248","PT Teknologi","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Palembang; Indralaya","PT Teknologi adalah perusahaan yang bergerak di bidang Teknologi & Telekomunikasi, dengan fokus pada Layanan Komunikasi Seluler. Berlokasi di Palembang dan  Indralaya, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Penunjang Medis (Laboratorium;Pemasaran Produk & Layanan Seluler;Analisis Penjualan Ritel;Analisis Data;Pengabdian Masyarakat;Tembaga);Manajemen Proyek Konstruksi;Efisiensi Energi Pembangkit","Riset Tambahan"
"PSM249","PT Perbankan","Perbankan","Layanan Keuangan & Perbankan Syariah","Palembang; Kayu Agung","PT Perbankan menyediakan solusi Perbankan dengan spesialisasi Layanan Keuangan & Perbankan Syariah untuk pasar di Palembang dan  Kayu Agung dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Pengembangan Perangkat Lunak;Perpustakaan Digital & Literasi Informasi;GIS untuk Perkebunan;Analisis Pembiayaan Syariah (Murabahah;Manajemen Proyek;Administrasi Akademik & Kemahasiswaan;Akuntansi Perbankan;Efisiensi Energi Pembangkit;Teknologi Konstruksi Jalan;Keuangan","Analisis Internal"
"PSM250","Firma Perbankan","Perbankan","Layanan Keuangan & Perbankan Swasta","Palembang; lokasi proyek","Beroperasi di Palembang dan  lokasi proyek, Firma Perbankan menawarkan keahlian dalam Layanan Keuangan & Perbankan Swasta di sektor Perbankan. Mereka dikenal karena inovasi dan kualitas.","Layanan Penumpang Kereta;Pemasaran Produk & Layanan Seluler;Wealth Management;Gerbong);Teknik Distribusi Tenaga Listrik Skala Kecil;Hukum Asuransi;Teknik Sipil (Struktur;HSE Perkebunan","Riset Tambahan"
"PSM251","Firma Manufaktur","Manufaktur","Industri Pulp & Kertas","Prabumulih","Firma Manufaktur menyediakan solusi Manufaktur dengan spesialisasi Industri Pulp & Kertas untuk pasar di Prabumulih dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Layanan Pelanggan Korporat & Ritel;Teknik Sipil (Jalan Tol & Jembatan);Sistem Informasi Akademik;Manajemen Lingkungan Tambang;Cyber Security;Hukum Perbankan","Data Generasi Otomatis"
"PSM252","CV Utilitas Bersama Prabumulih","Utilitas","Ketenagalistrikan (Pembangkitan)","Prabumulih;Ogan Komering Ilir (OKI)","CV Utilitas Bersama Prabumulih menyediakan solusi Utilitas dengan spesialisasi Ketenagalistrikan (Pembangkitan) untuk pasar di Prabumulih dan Ogan Komering Ilir (OKI) dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Pemasaran Produk Digital;Kesehatan Hewan & Biosecurity;Analisis Risiko Asuransi;PLTA);Cloud Computing (AWS/Azure/GCP)","Transkripsi Gambar & Riset"
